timestamp,frame,alert_level,collision_count,collisions,near_miss_count,near_misses,high_velocity_count,high_velocity_ids,latitude,longitude
2026-09-01T20:06:06.095924,9,CRITICAL,1,"[(4, 13)]",0,[],2,"[6, 4]",,
2026-09-01T20:06:06.192293,10,CRITICAL,1,"[(10, 14)]",2,"[(6, 10), (6, 14)]",3,"[6, 10, 11]",,
2026-09-01T20:06:06.411354,12,WARNING,0,[],1,"[(5, 16)]",2,"[5, 0]",,
2026-09-01T20:06:06.497842,13,WARNING,0,[],1,"[(0, 17)]",2,"[16, 0]",,
2026-09-01T20:06:06.595848,14,WARNING,0,[],1,"[(5, 17)]",3,"[8, 17, 7]",,
2026-09-01T20:06:06.694694,15,WARNING,0,[],1,"[(5, 17)]",3,"[8, 17, 18]",,
2026-09-01T20:06:06.784305,16,WARNING,0,[],2,"[(5, 17), (17, 16)]",2,"[8, 18]",,
2026-09-01T20:06:07.240869,21,CRITICAL,1,"[(21, 22)]",0,[],1,[19],,
2026-09-01T20:06:07.676303,25,WARNING,0,[],1,"[(21, 27)]",3,"[0, 16, 21]",,
2026-09-01T20:06:08.190806,31,CRITICAL,1,"[(24, 28)]",0,[],4,"[30, 0, 24, 28]",,
2026-09-01T20:06:08.539139,35,CRITICAL,1,"[(32, 30)]",0,[],1,[30],,
2026-09-01T20:06:08.929259,39,CRITICAL,1,"[(38, 45)]",0,[],2,"[28, 38]",,
2026-09-01T20:06:09.011410,40,WARNING,0,[],1,"[(31, 46)]",5,"[34, 39, 31, 40, 38]",,
2026-09-01T20:06:09.098326,41,CRITICAL,1,"[(31, 46)]",2,"[(31, 47), (46, 47)]",5,"[31, 39, 32, 35, 46]",,
2026-09-01T20:06:09.179907,42,WARNING,0,[],3,"[(24, 39), (31, 47), (35, 38)]",4,"[24, 39, 31, 35]",,
2026-09-01T20:06:09.260852,43,WARNING,0,[],3,"[(31, 47), (39, 24), (35, 38)]",4,"[31, 39, 24, 35]",,
2026-09-01T20:06:09.342030,44,WARNING,0,[],6,"[(41, 34), (41, 39), (29, 49), (34, 48), (31, 48), (31, 47)]",8,"[41, 29, 34, 31, 36, 47, 39, 38]",,
2026-09-01T20:06:09.427165,45,CRITICAL,1,"[(39, 50)]",8,"[(31, 34), (31, 48), (31, 47), (31, 51), (41, 34), (41, 39), (41, 50), (34, 48)]",3,"[31, 48, 39]",,
2026-09-01T20:06:09.509592,46,CRITICAL,7,"[(44, 56), (33, 53), (33, 29), (33, 57), (53, 29), (53, 57), (29, 57)]",11,"[(31, 47), (31, 48), (31, 52), (47, 48), (47, 52), (44, 52), (39, 54), (33, 24), (24, 53), (36, 55), (52, 56)]",13,"[31, 47, 48, 44, 35, 39, 33, 51, 38, 24, 36, 29, 52]",,
2026-09-01T20:06:09.595155,47,WARNING,0,[],1,"[(50, 54)]",3,"[47, 50, 54]",,
